type,involved_person,datetime,operation,operation_name,latitude,longitude,street_id,street_name,gender,age_range,self_defined_ethnicity,officer_defined_ethnicity,legislation,object_of_search,outcome,outcome_linked_to_object_of_search,removal_of_more_than_outer_clothing,outcome_object_id,outcome_object_name,force
Person search,True,2024-01-06T22:00:00+00:00,,,-1.119069,52.693246,1738748,On or near Rectory Road,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,,Controlled drugs,Community resolution,True,False,bu-community-resolution,Community resolution,leicestershire
Person and Vehicle search,True,2024-01-06T22:45:00+00:00,,,-1.130273,52.628997,1738518,On or near Crescent Street,Male,18-24,Other ethnic group - Not stated,,,Controlled drugs,A no further action disposal,,False,bu-no-further-action,A no further action disposal,leicestershire
